"SERIAL 
NUMBER",BANK NAME,BANK ID,BRANCH NAME,BRANCH ADDRESS,MAP COORDINATES,BRANCH POPULATION,POPULATION RATIO,YEAR,REVENUE,EXPENSE,PROFIT,BRANCH CODE,DIVISION NAME,DISTRICT NAME,THANA NAME
11,AGRANI BANK PLC,11,JAGAT BAZAR,"Jagath Bazar, Brahmanbaria 3400","23.9742147522547, 91.11464821422152",104399,0.37%,2023,58193996.2,45712417.48,502174.3,110012,CHATTOGRAM,BRAHMANBARIA,BRAHMANBARIA SADAR
12,AGRANI BANK PLC,11,BANCHHARAMPUR,"Bancharampur, Brahmanbaria 3420","23.877915391102103, 90.84694846631689",298430,1.05%,2023,166350899.5,130671585.8,1435494.26,110013,CHATTOGRAM,BRAHMANBARIA,BANCHARAMPUR
13,AGRANI BANK PLC,11,SALIMGONJ,"Nabinagar, Brahmanbaria 3410","23.85348344275541, 90.8472978625024",64157,0.23%,2023,35762594.98,28092153.46,308606.69,110014,CHATTOGRAM,BRAHMANBARIA,NABINAGAR
14,AGRANI BANK PLC,11,T. A. ROAD,"TA Road, Brahmanbaria 3400","23.971746543829717, 91.11105822000569",182698,0.64%,2023,101839493.4,79996730.58,878805.03,110015,CHATTOGRAM,BRAHMANBARIA,BRAHMANBARIA SADAR
15,AGRANI BANK PLC,11,CHANDURA BAZAR,"Chandura Bazar, Brahmanbaria 3432","24.05813120281777, 91.23437119756962",257247,0.91%,2023,143394664.9,112639055.8,1237397.68,110016,CHATTOGRAM,BRAHMANBARIA,BIJOYNAGAR
16,AGRANI BANK PLC,11,ASHUGONJ,"Ashugaj Bazar, Brahmanbaria 3402","24.043730233465993, 91.00882246789558",66842,0.24%,2023,37259067.44,29267659.16,321520.22,110017,CHATTOGRAM,BRAHMANBARIA,ASHUGANJ
17,AGRANI BANK PLC,11,KASBA,"Kasba, Brahmanbaria 3460","23.74599987157141, 91.14782991021688",319221,1.12%,2023,177940222.1,139775204.5,1535502.17,110018,CHATTOGRAM,BRAHMANBARIA,KASBA
18,AGRANI BANK PLC,11,SHAHPUR,"Nabinagar, Brahmanbaria 3410","25.062896186666443, 90.02181796850499",59222,0.21%,2023,33011626.13,25931218.58,284867.71,110019,CHATTOGRAM,BRAHMANBARIA,NABINAGAR
19,AGRANI BANK PLC,11,AKHAURA,"Sarak Bazar, Akhaura, Brahmanbaria 3450","23.97485940338975, 91.1096754376352",145215,0.51%,2023,80945769.09,63584339.13,698506.51,110020,CHATTOGRAM,BRAHMANBARIA,AKHAURA
20,AGRANI BANK PLC,11,BABURHAT,"Baburhat Bazar, Chandpur 3602","23.258199989147307, 90.69490828296618",79206,0.28%,2023,44151149.7,34681512.17,380994.16,110021,CHATTOGRAM,CHANDPUR,CHANDPUR SADAR
21,AGRANI BANK PLC,11,BELTALI BAZAR,"Badarpur, Beltali Bazar Matlab North, Chandpur 3640","23.34610223749626, 90.70696928137234",82828,0.29%,2023,46169952.74,36267317.8,398415.05,110022,CHATTOGRAM,CHANDPUR,MATLAB UTTAR
22,AGRANI BANK PLC,11,CHANDRA BAZAR,"South Balia, Bakharpur, Chandpur 3651","23.20931193415937, 90.73898432618105",69888,0.25%,2023,38956896.8,30601334.27,336171.32,110023,CHATTOGRAM,CHANDPUR,CHANDPUR SADAR
23,AGRANI BANK PLC,11,HAJIGONJ,"Hajiganj East Bazar, Hajiganj, Chandpur 3610","23.251519575193004, 90.8534570543878",155324,0.55%,2023,86580835.44,68010783.82,747133.27,110024,CHATTOGRAM,CHANDPUR,HAJIGANJ
24,AGRANI BANK PLC,11,KHAJURIA BAZAR,"Khajuria, Singhargoan, Faridganj, Chandpur 3650","23.036498798164587, 90.97985250507718",162640,0.57%,2023,90658832.17,71214122.67,782323.59,110025,CHATTOGRAM,CHANDPUR,FARIDGANJ
25,AGRANI BANK PLC,11,MATLAB BAZAR,"Agrani Bank Road, Matlab, Matlab South, Chandpur 3640","23.372171397747376, 90.77269999671782",71417,0.25%,2023,39809275.84,31270893.14,343526.77,110026,CHATTOGRAM,CHANDPUR,MATLAB SOUTH
26,AGRANI BANK PLC,11,SHAHRASTI,"Niz Maher, Shahrasti, Chandpur 3620","23.231483672260985, 90.94888436674735",229118,0.81%,2023,127714993.1,100322395.2,1102092.86,110027,CHATTOGRAM,CHANDPUR,SHAHRASTI
27,AGRANI BANK PLC,11,MUNSHIRHAT,"Degaldi, Munshirhat Bazar, Matlab South, Chandpur 3640","23.353981096212305, 90.7072199514237",244006,0.86%,2023,136014087.5,106841481.2,1173708.36,110028,CHATTOGRAM,CHANDPUR,MATLAB SOUTH
28,AGRANI BANK PLC,11,NARAYANPUR,"Sarpar, Narayanpur Bazar, Matlab South, Chandpur 3640","23.37852864455141, 90.77388723241017",60915,0.21%,2023,33954970.57,26672232.39,293008.13,110029,CHATTOGRAM,CHANDPUR,MATLAB SOUTH
29,AGRANI BANK PLC,11,NATUN BAZAR,"Sadar Road, Natun Bazar, Patuakhali 8600","22.364347469846507, 90.34592036687728",94939,1.22%,2023,61808206.23,48551443.64,533362.46,110030,CHATTOGRAM,CHANDPUR,CHANDPUR SADAR
30,AGRANI BANK PLC,11,JUKTIKHULA,"Juktikhola Bazar, Nangalkot, Comilla","23.241180818092825, 91.21032242555135",89757,0.32%,2023,50032294.76,39301256.05,431744.41,110031,CHATTOGRAM,CUMILLA,NANGOLKOT
31,AGRANI BANK PLC,11,RUPSHA BAZAR,"Rupsha Bazar, Faridganj, Chandpur 3652","23.133731603485575, 90.7827629678767",103138,0.36%,2023,57490966.74,45160175.35,496107.64,110032,CHATTOGRAM,CHANDPUR,FARIDGANJ
32,AGRANI BANK PLC,11,PURAN BAZAR,"Hatkhola Road, Kotwali, Barisal 8200","22.86942988732356, 90.31987191205253",28059,0.36%,2023,18267022.63,14349070.68,157631.89,110033,CHATTOGRAM,CHANDPUR,CHANDPUR SADAR
33,AGRANI BANK PLC,11,STATION ROAD,"JM Sengupta Road, Chandpur 3600","23.218634396514812, 90.66538375438712",65229,0.23%,2023,36359770.35,28561245.31,313759.9,110034,CHATTOGRAM,CHANDPUR,CHANDPUR SADAR
34,AGRANI BANK PLC,11,CHENGARCHAR BAZAR,"College Road, Changarchar, Matlab North, Chandpur 3641","23.354847515232162, 90.70814587074555",73954,0.26%,2023,41223172.09,32381533.75,355727.72,110035,CHATTOGRAM,CHANDPUR,MATLAB UTTAR
35,AGRANI BANK PLC,11,NANDALALPUR,"Nandalalpur, Matlab North, Chandpur 3640","23.42250951642205, 90.72961902585234",85786,0.30%,2023,47818879.62,37562579.15,412644.16,110036,CHATTOGRAM,CHANDPUR,MATLAB UTTAR
36,AGRANI BANK PLC,11,RAMCHANDRAPUR BAZAR,"Hajiganj East Bazar, Hajiganj, Chandpur 3610","23.251430858133762, 90.85342486787911",175153,0.62%,2023,97633708.05,76693011.54,842511.99,110037,CHATTOGRAM,CHANDPUR,HAJIGANJ
37,AGRANI BANK PLC,11,BALITHUBA,"Balithuba, Candra Bazar, Foridganj, Chandpur 3651","23.20319673509627, 90.73797049198994",130905,0.46%,2023,72969303.94,57318684.1,629675.08,110038,CHATTOGRAM,CHANDPUR,FARIDGANJ
38,AGRANI BANK PLC,11,ALGI BAZAR,"Algi Bazar, Chandpur","23.098975359168687, 90.68085203903978",109575,0.39%,2023,61079314.45,47978886.2,527072.62,110039,CHATTOGRAM,CHANDPUR,HAIMCHAR
39,AGRANI BANK PLC,11,FORKKABAD,"Forrokabad, Chandpur","23.225653609954314, 90.6527600395473",55910,0.20%,2023,31165517.44,24481067.41,268937.06,110040,CHATTOGRAM,CHANDPUR,CHANDPUR SADAR
40,AGRANI BANK PLC,11,AMIRHAT,"Fakirhat Bazar, Raozan, Chittagong 4340","22.67592187500731, 91.81024790335242",103309,0.36%,2023,57586408.22,45235146.33,496931.24,110041,CHATTOGRAM,CHATTOGRAM,RAOZAN
41,AGRANI BANK PLC,11,AIRBASE,"BAF Shaheen, Chittagong Airport, Patenga, Chittagong 4205","22.266704367813322, 91.81505483229654",77123,0.27%,2023,42989720.2,33769188.67,370971.82,110042,CHATTOGRAM,CHATTOGRAM,PATENGA
42,AGRANI BANK PLC,11,ASADGONJ CORPORATE,"Asadgonj Branch, P.O.# Chittagong Sadae, P.S.# Kotwali Chattogram 4100","22.338582860673377, 91.84316910507741",31127,0.11%,2023,17350956.8,13629484.7,149726.87,110044,CHATTOGRAM,CHATTOGRAM,"KOTWALI_CHATTOGRA
M"
43,AGRANI BANK PLC,11,ASKERDIGHI,"SS Khaled Road, GPO, Kotwali, Chittagong 4000","22.348179608760834, 91.82645621204222",19808,0.07%,2023,11041517.96,8673308.44,95280.73,110045,CHATTOGRAM,CHATTOGRAM,"KOTWALI_CHATTOGRA
M"
44,AGRANI BANK PLC,11,AZADI BAZAR,"Azadi Bazar, Fatikchari, Chittagong 4351","22.616301955557336, 91.84725611019391",173581,0.61%,2023,96757543.89,76004769.03,834951.29,110046,CHATTOGRAM,CHATTOGRAM,FATIKCHARI
45,AGRANI BANK PLC,11,SITAKUNDA,"Dhaka Trunk Road, Sitakunda, Chittagong 4310","22.358580324904953, 91.78315144087873",387832,1.37%,2023,216185377,169817452.8,1865531.64,110047,CHATTOGRAM,CHATTOGRAM,SITAKUNDA
46,AGRANI BANK PLC,11,BARAIYER HAT,"Masjid Road, Hinguli, Mirsarai, Chittagong 4326","22.895189320282046, 91.53511981205308",35862,0.13%,2023,19990201.92,15702658.61,172501.74,110048,CHATTOGRAM,CHATTOGRAM,JORARGANJ
47,AGRANI BANK PLC,11,BARADARGAR HAT,"Dhaka Trunk Road, Sitakunda, Chittagong 4310","22.358266392232018, 91.78438675437002",96958,0.34%,2023,54046344.25,42454363.21,466382.91,110049,CHATTOGRAM,CHATTOGRAM,SITAKUNDA
48,AGRANI BANK PLC,11,CADET COLLEGE,"Dhaka Trunk Road, Sitakunda, Chittagong 4310","22.358001016572857, 91.78487188472972",108593,0.38%,2023,60531905.56,47548886.79,522348.86,110050,CHATTOGRAM,CHATTOGRAM,SITAKUNDA
49,AGRANI BANK PLC,11,CHAKTAI,"70 New Chakai Road, Kotwali, Chittagong 4000","22.346613332796398, 91.83359867732752",196877,0.69%,2023,109743209.6,86205240.06,947008.69,110051,CHATTOGRAM,CHATTOGRAM,BAKOLIA
50,AGRANI BANK PLC,11,CHATTESWARI ROAD,"Enaetur Rahman Sarak, Kotwali, Barisal 8200","22.702609564223756, 90.36563009257314",64045,0.23%,2023,35699862.91,28042876.31,308065.35,110052,CHATTOGRAM,CHATTOGRAM,CHAWKBAZAR
51,AGRANI BANK PLC,11,COLONEL HAT,"Dhaka Trunk Road, Colonel Hat, Pahartali, Chittagong 4317","22.369042279702636, 91.77775891442467",68248,0.24%,2023,38043006.44,29883457.16,328285.07,110053,CHATTOGRAM,CHATTOGRAM,AKBOR SHAH
52,AGRANI BANK PLC,11,DOHAZARI,Dohazari Branch,"22.166165196136305, 92.06548521969209",233017,0.82%,2023,129888374.3,102029624.7,1120847.65,110054,CHATTOGRAM,CHATTOGRAM,CHANDANAISH
53,AGRANI BANK PLC,11,DURGAPUR,"Durgapur, Bharatvaj Hat, Mirsharai, Chittagong 4323","22.818401952316893, 91.54399653903413",175435,0.62%,2023,97791028.74,76816589.74,843869.56,110055,CHATTOGRAM,CHATTOGRAM,MIRSARAI
54,AGRANI BANK PLC,11,SUBAR BAZAR,"Subar Bazar, Feni","23.02295925161834, 91.40282491604245",55590,0.20%,2023,30986763.94,24340653.37,267394.54,110056,CHATTOGRAM,FENI,PARSHURAM
55,AGRANI BANK PLC,11,FERINGEE BAZAR,"Shib Bari Lane, Kotwali, Chittagong 4000","22.347843141863457, 91.834113659269",42446,0.15%,2023,23660395.63,18585660.95,204173,110057,CHATTOGRAM,CHATTOGRAM,"KOTWALI_CHATTOGRA
M"
56,AGRANI BANK PLC,11,FOUZDER HAT,"Dhaka Trunk Road, Zafarabad, Pahartali, Chittagong 4317","22.34532474886386, 91.80146341968955",83415,0.29%,2023,46497007.87,36524225.42,401237.31,110058,CHATTOGRAM,CHATTOGRAM,AKBOR SHAH
57,AGRANI BANK PLC,11,HALISHAHAR,"Eidgah, DT Road, Halishahar, Chittagong 4228","22.350924190187143, 91.79485116971482",67467,0.24%,2023,37607499.64,29541358.83,324526.95,110059,CHATTOGRAM,CHATTOGRAM,HALISHAR
58,AGRANI BANK PLC,11,INDUSTRIAL AREA,"Baizid Bostami Mazar, Baizid Bostami, Chittagong","22.38971968132396, 91.8096826580779",79238,0.28%,2023,44168730.74,34695322.38,381145.88,110061,CHATTOGRAM,CHATTOGRAM,BAIOZID BOSTAMI
59,AGRANI BANK PLC,11,ISAKHALI,"Rangunia, Chittagong 4360","22.481557720296387, 92.13787808244388",186452,0.66%,2023,103932215.9,81640601.29,896863.79,110062,CHATTOGRAM,CHATTOGRAM,RANGUNIA
60,AGRANI BANK PLC,11,AGRABAD(JB) CORPORATE,"Jahan Building-2, 24, Sheikh Mujib Road, Agrabad, Chattogram","22.327748015506476, 91.81567281981074",60700,0.21%,2023,33835331.48,26578253.76,291975.72,110063,CHATTOGRAM,CHATTOGRAM,DOUBLE MOORING
61,AGRANI BANK PLC,11,JALALABAD,"Bottoli Bazar, Kulgaon, Haji Saleh Bazar, Baizid Road, Chittagong 4216","22.401968558895366, 91.81826035437085",89353,0.31%,2023,49807292.11,39124512.47,429802.8,110064,CHATTOGRAM,CHATTOGRAM,BAIOZID BOSTAMI
62,AGRANI BANK PLC,11,JUBILEE ROAD,"129 Jubilee Road, Kotwali, Chittagong 4000","22.337917054344427, 91.83086498320584",14149,0.05%,2023,7886798.54,6195220.32,68057.67,110065,CHATTOGRAM,CHATTOGRAM,"KOTWALI_CHATTOGRA
M"
63,AGRANI BANK PLC,11,KAPASHGOLA,"Enaetur Rahman Sarak, Kotwali, Barisal 8200","22.700867147769873, 90.36950853392948",96067,0.34%,2023,53549794.36,42064314.46,462098.03,110066,CHATTOGRAM,CHATTOGRAM,CHAWKBAZAR
64,AGRANI BANK PLC,11,KHATUNGANJ,"Khatunganj Road, Kotwali, Chittagong 4000","22.338188420468608, 91.84317038276274",25468,0.09%,2023,14196237.38,11151396.57,122503.8,110067,CHATTOGRAM,CHATTOGRAM,"KOTWALI_CHATTOGRA
M"
65,AGRANI BANK PLC,11,LALDIGHI EAST,"1012-1013 Laldighi East Side, Kotwali, Chittagong 4000","22.33911093586263, 91.838192152533",53765,0.19%,2023,29969834.46,23541837.2,258619.13,110068,CHATTOGRAM,CHATTOGRAM,"KOTWALI_CHATTOGRA
M"
66,AGRANI BANK PLC,11,MEDICAL COLLEGE,"Tomchon Bridge, Comilla Medical College, Cumilla","23.452577976390913, 91.19559055793324",30993,0.11%,2023,17276323.81,13570859.16,149082.83,110069,CHATTOGRAM,CHATTOGRAM,PANCHLAISH
67,AGRANI BANK PLC,11,NAZIRHAT,"Nazirhat Bazar, Fatikchhari, Chittagong 4353","22.38075791113459, 91.76531637469846",220921,0.78%,2023,123145965,96733342.4,1062665.28,110070,CHATTOGRAM,CHATTOGRAM,FATIKCHARI
68,AGRANI BANK PLC,11,NEW MARKET CORP CTG,"886/904 HS Sohrawardy Road, Kotwali, Chittagong 4000","22.352447347208166, 91.82505852148955",50936,0.18%,2023,28392474.76,22302793.14,245007.6,110071,CHATTOGRAM,CHATTOGRAM,"KOTWALI_CHATTOGRA
M"
69,AGRANI BANK PLC,11,PAHARTALI,"DT Road, Pahartali Bazar, Chittagong 4202","22.35760418261375, 91.79272892536255",198894,0.70%,2023,110867526.1,87088410.61,956710.77,110073,CHATTOGRAM,CHATTOGRAM,PAHARTALI
70,AGRANI BANK PLC,11,PORT,"BSC Bhaban, Chittagong Port, Bandar, Chittagong 4100","22.312255779079223, 91.80021274880822",213598,0.75%,2023,119063832.2,93526754.6,1027439.27,110074,CHATTOGRAM,CHATTOGRAM,BANDAR CTG.
71,AGRANI BANK PLC,11,ROUZAN,"Fakirhat Bazar, Raozan, Chittagong 4340","22.317912883815524, 91.80449350433325",112994,0.40%,2023,62985133.99,49475941.3,543518.54,110075,CHATTOGRAM,CHATTOGRAM,RAOZAN
72,AGRANI BANK PLC,11,REAZUDDIN BAZAR,"Sadarghat, Chapai Nawabganj 6300","23.749094149651718, 90.42712125989782",37256,0.13%,2023,20767496.46,16313237.28,179209.26,110076,CHATTOGRAM,CHATTOGRAM,SADARGHAT
73,AGRANI BANK PLC,11,SADARGHAT,"Sadarghat, Chapai Nawabganj 6300","23.74658012988402, 90.36394987216643",106447,0.37%,2023,59335704.18,46609249.37,512026.46,110077,CHATTOGRAM,CHATTOGRAM,SADARGHAT
74,AGRANI BANK PLC,11,SHANTINIKETAN,"Shanti Niketan Bazar, Rangunia, Chittagong 4360","22.418245783451216, 91.87979710874293",152552,0.54%,2023,85035449.35,66796855.6,733797.65,110078,CHATTOGRAM,CHATTOGRAM,RANGUNIA
75,AGRANI BANK PLC,11,SK MUJIB ROAD,"Sk Mujib Sarak, Agrabad, Chittagong 4000","22.340742781497706, 91.81353567552321",60700,0.21%,2023,33835331.48,26578253.76,291975.72,110079,CHATTOGRAM,CHATTOGRAM,DOUBLE MOORING
76,AGRANI BANK PLC,11,"SRTRAND ROAD
CORPORATE","Sadarghat, Chapai Nawabganj 6300","24.638802148297934, 88.27655638642747",34063,0.12%,2023,18987425.34,14914959.8,163848.47,110080,CHATTOGRAM,CHATTOGRAM,SADARGHAT
77,AGRANI BANK PLC,11,CTG.UNIVERSITY,"Hathazari Bus Station, Hathazari, Chittagong 4330","22.499724663563605, 91.80805476513879",104618,0.37%,2023,58315954.16,45808217.62,503226.72,110082,CHATTOGRAM,CHATTOGRAM,HATHAZARI
78,AGRANI BANK PLC,11,"COMMERCIAL AREA
CORPORATE",N/A,0,52028,0.18%,2023,29001712.7,22781360.36,250264.9,110083,CHATTOGRAM,CHATTOGRAM,DOUBLE MOORING
79,AGRANI BANK PLC,11,MODUNAGHAT,"Hathazari Bus Station, Hathazari, Chittagong 4330","22.436034228229335, 91.87182696769918",89672,0.32%,2023,49985103.57,39264186.53,431337.19,110084,CHATTOGRAM,CHATTOGRAM,HATHAZARI
80,AGRANI BANK PLC,11,AMANAT KHAN SARAK,"Amanat Khan Sarak, Chittagong Port, Kotwali, Chittagong 4100","22.30942702992752, 91.80166020833427",75152,0.26%,2023,41891362.79,32906409.41,361493.75,110085,CHATTOGRAM,CHATTOGRAM,DOUBLE MOORING
81,AGRANI BANK PLC,11,STEEL MILLS,"Steel Mills, Potenga, Chittagong 4200","22.26922617674734, 91.7916385858621",63100,0.22%,2023,35173407.44,27629336.18,303522.4,110086,CHATTOGRAM,CHATTOGRAM,PATENGA
82,AGRANI BANK PLC,11,KHULSHI,"Jakir Hossain Road, Dampara, Khulshi, Chittagong 4000","22.36220949584418, 91.80157319669765",138710,0.49%,2023,77319789.95,60736068.12,667216.8,110087,CHATTOGRAM,CHATTOGRAM,KULSHI
83,AGRANI BANK PLC,11,FATEABAD,"Hathazari Bus Station, Hathazari, Chittagong 4330","22.47343048628978, 91.78703136198583",129527,0.46%,2023,72200705.15,56714936.1,623042.6,110088,CHATTOGRAM,CHATTOGRAM,HATHAZARI
84,AGRANI BANK PLC,11,SAMITIR HAT,"Shamitirhat Bazar, Fatikchhari, Chittagong 4333","22.591324874703517, 91.83187199670209",131501,0.46%,2023,73301169.61,57579370.48,632538.86,110089,CHATTOGRAM,CHATTOGRAM,FATIKCHARI
85,AGRANI BANK PLC,11,LAL KHAN BAZAR,"CDA Avenue, Kotwali, Chittagong 4000","22.355194599912277, 91.82208075436994",104641,0.37%,2023,58328964.35,45818437.35,503338.99,110090,CHATTOGRAM,CHATTOGRAM,KULSHI
86,AGRANI BANK PLC,11,BAHADDAR HAT,"Bahaddar Hat, Chandgaon, Chittagong 4212","22.371049341752236, 91.84377216034707",178390,0.63%,2023,99438183.03,78110458.68,858083.37,110091,CHATTOGRAM,CHATTOGRAM,CHANDGAON
87,AGRANI BANK PLC,11,ARTILLERY CENTRE,"Artillery Road, Halishahar, Chittagong 4216","22.351835039003547, 91.79459115748232",57472,0.20%,2023,32036018.21,25164861.23,276448.88,110092,CHATTOGRAM,CHATTOGRAM,HALISHAR
88,AGRANI BANK PLC,11,E.P.Z.CORPORATE,"Bay Shopping Centre, Chittagong","22.29295401831479, 91.78199291018761",256168,0.90%,2023,142793208.5,112166601.2,1232207.53,110093,CHATTOGRAM,CHATTOGRAM,EPZ
89,AGRANI BANK PLC,11,MADAMBIBIR HAT,"Dhaka Trunk Road, Sitakunda, Chittagong 4310","22.358540635876846, 91.78302269484395",93080,0.33%,2023,51884490.48,40756188.68,447727.59,110094,CHATTOGRAM,CHATTOGRAM,SITAKUNDA
90,AGRANI BANK PLC,11,GAHIRA,"Fakirhat Bazar, Raozan, Chittagong 4340","22.38949933231799, 91.76129594746764",106537,0.38%,2023,59385983.48,46648744.65,512460.34,110095,CHATTOGRAM,CHATTOGRAM,RAOZAN
91,AGRANI BANK PLC,11,PRESS CLUB,"Jamal Khan Road, Rahmatganj, Kotwali, Chittagong 4000","22.34704828490389, 91.83397122949879",45276,0.16%,2023,25237755.34,19824705.01,217784.53,110096,CHATTOGRAM,CHATTOGRAM,"KOTWALI_CHATTOGRA
M"
92,AGRANI BANK PLC,11,HATHAZARI,"Hathazari Bus Station, Hathazari, Chittagong 4330","22.346305476013164, 91.83124471378957",498179,1.75%,2023,277695019.8,218134369.6,2396317.7,110097,CHATTOGRAM,CHATTOGRAM,HATHAZARI
93,AGRANI BANK PLC,11,"ISLAMI BANKING
WINDOW AGRABAD",N/A,0,43357,0.15%,2023,24168093.92,18984466.97,208554.09,110098,CHATTOGRAM,CHATTOGRAM,DOUBLE MOORING
94,AGRANI BANK PLC,11,SWANDIP,"Sandwip, Chittagong","22.485497035970745, 91.4613286678638",278605,0.98%,2023,155300044.8,121990943.1,1340132.95,110099,CHATTOGRAM,CHATTOGRAM,SANDWIP
95,AGRANI BANK PLC,11,CHAPRI BAZAR,"Madhupur Bus Stand, Madhupur, Tangail 1996","24.60741205602279, 90.02897425601202",133528,0.37%,2023,75933124.57,59646817.84,655250.82,110101,DHAKA,TANGAIL,MADHUPUR
96,AGRANI BANK PLC,11,SHIBPUR,"Nabinagar, Brahmanbaria 3410","23.843467767287127, 91.0378826545023",108574,0.38%,2023,60521314.57,47540567.39,522257.47,110102,DHAKA,NARSHINGDI,SHIBPUR
97,AGRANI BANK PLC,11,TRISHAL,"Trishal, Mymensingh","24.58198481201666, 90.39002352557964",419308,3.34%,2023,386523256.5,115461462.2,1268403.26,110103,MYMENSINGH,MYMENSINGH,TRISAL
98,AGRANI BANK PLC,11,BANGRAM BAZAR,"Mukshudpur, Gopalganj","23.014961581521895, 89.83142202584106",43411,0.12%,2023,24686388.2,19391596.33,213026.61,110104,DHAKA,GOPALGANJ,MUKSUDPUR
99,AGRANI BANK PLC,11,BHANAGARHAT,"32Q2+V9R, kaliganj Bazar, kotalipara","23.091184058893607, 90.00090324711421",85302,0.23%,2023,48508315.78,38104143.5,418593.52,110105,DHAKA,GOPALGANJ,KOTWALIPARA
100,AGRANI BANK PLC,11,RAMDIA,"Kaskorra Bazar, Alamdanga, Chuadanga 7210","23.76122752459834, 88.94695855439835",124569,0.34%,2023,70838399.83,55644821.08,611286.84,110106,DHAKA,GOPALGANJ,KASIANI
101,AGRANI BANK PLC,11,KALIAKOIR,"Kaliakoir, Gazipur 1613","24.07878758399002, 90.21028999673258",249100,0.68%,2023,141655190.3,111272667.6,1222387.21,110107,DHAKA,GAZIPUR,KALIAKOIR
102,AGRANI BANK PLC,11,CHURAIN BAZAR,"Kalakopa, Nawabganj, Dhaka","23.66341110432476, 90.16156249013734",79703,0.22%,2023,45324400.71,35603121.67,391118.52,110108,DHAKA,DHAKA,NAWABGANJ
103,AGRANI BANK PLC,11,PAGLA BAZAR,"Pagla Bazar, Mymensingh","24.713695393806912, 90.43417791209116",75900,0.60%,2023,69965550.78,20899970.87,229596.88,110109,MYMENSINGH,MYMENSINGH,PAGLA
104,AGRANI BANK PLC,11,SONAKURA C & B BAZAR,"Shibpur, Brahmanbaria","24.039908872189653, 90.74010670699056",136716,0.38%,2023,77745924.31,61070804.23,670894.04,110110,DHAKA,NARSHINGDI,SHIBPUR
105,AGRANI BANK PLC,11,BONORUPA,Banorupa Rangamati,"22.655844608187298, 92.17889331204829",64500,0.23%,2023,35953622.87,28242209.26,310255.12,110111,CHATTOGRAM,RANGAMATI,KOTWALI_RANGAMATI
106,AGRANI BANK PLC,11,RANGAMATI,"Rangamati Sadar, Rangamati","22.65394114826834, 92.17535799142733",82091,0.29%,2023,45759156.37,35944629.96,394870.16,110112,CHATTOGRAM,RANGAMATI,KOTWALI_RANGAMATI
107,AGRANI BANK PLC,11,DECRIRCHAR HAT,"Kalkini Bazar, Kalkini, Madaripur 7920","23.07270156787176, 90.2426701832204",90794,0.25%,2023,51631525.55,40557480.24,445544.68,110113,DHAKA,MADARIPUR,KALKINI
